clave_ent,ent,anio,trimestre,pesos_constantes,canasta_alimentaria,desagregacion
3,Baja California Sur,2007,3,3570,3816.95,Estatal
3,Baja California Sur,2007,4,3841.53,4076.13,Estatal
3,Baja California Sur,2008,1,3748.17,3992.5,Estatal
3,Baja California Sur,2008,2,3768.33,3958.41,Estatal
3,Baja California Sur,2008,3,3417.92,3568.69,Estatal
3,Baja California Sur,2008,4,3312.52,3415.65,Estatal
3,Baja California Sur,2009,1,3233.03,3326.08,Estatal
3,Baja California Sur,2009,2,3072.51,3086.94,Estatal
3,Baja California Sur,2009,3,2999.34,2976.21,Estatal
3,Baja California Sur,2009,4,2728.92,2737.45,Estatal
3,Baja California Sur,2010,1,2808.88,2808.88,Estatal
3,Baja California Sur,2010,2,2936.35,2952.21,Estatal
3,Baja California Sur,2010,3,2786.79,2836.88,Estatal
3,Baja California Sur,2010,4,2713.09,2741.61,Estatal
3,Baja California Sur,2011,1,2744.13,2762.64,Estatal
3,Baja California Sur,2011,2,2823.11,2832.63,Estatal
3,Baja California Sur,2011,3,2757.81,2776.85,Estatal
3,Baja California Sur,2011,4,3126.47,3125.75,Estatal
3,Baja California Sur,2012,1,2861.61,2828.89,Estatal
3,Baja California Sur,2012,2,2938.25,2872.1,Estatal
3,Baja California Sur,2012,3,2994.29,2849.77,Estatal
3,Baja California Sur,2012,4,3029.79,2870.12,Estatal
3,Baja California Sur,2013,1,2715.46,2575.77,Estatal
3,Baja California Sur,2013,2,2795.57,2638.85,Estatal
3,Baja California Sur,2013,3,2868,2710.97,Estatal
3,Baja California Sur,2013,4,2755.88,2593.73,Estatal
3,Baja California Sur,2014,1,2814.15,2628.29,Estatal
3,Baja California Sur,2014,2,2665.95,2513.47,Estatal
3,Baja California Sur,2014,3,2502.53,2335.93,Estatal
3,Baja California Sur,2014,4,2763.31,2554.13,Estatal
3,Baja California Sur,2015,1,2761.04,2593.79,Estatal
3,Baja California Sur,2015,2,2837.02,2650.7,Estatal
3,Baja California Sur,2015,3,2716.22,2518.94,Estatal
3,Baja California Sur,2015,4,2792.89,2584.06,Estatal
3,Baja California Sur,2016,1,2800.41,2548.93,Estatal
3,Baja California Sur,2016,2,2768.69,2530.8,Estatal
3,Baja California Sur,2016,3,2839,2621.04,Estatal
3,Baja California Sur,2016,4,3053.8,2798.21,Estatal
3,Baja California Sur,2017,1,2947.37,2741.22,Estatal
3,Baja California Sur,2017,2,2989.32,2733.21,Estatal
3,Baja California Sur,2017,3,2967,2625.93,Estatal
3,Baja California Sur,2017,4,2921.33,2618.98,Estatal
3,Baja California Sur,2018,1,2913.85,2650.69,Estatal
3,Baja California Sur,2018,2,3036.07,2772.36,Estatal
3,Baja California Sur,2018,3,2962.23,2679.71,Estatal
3,Baja California Sur,2018,4,3064.09,2777.52,Estatal
3,Baja California Sur,2019,1,3081.82,2769.2,Estatal
3,Baja California Sur,2019,2,3144.72,2830.58,Estatal
3,Baja California Sur,2019,3,3094.19,2792.63,Estatal
3,Baja California Sur,2019,4,3037.3,2754.27,Estatal
3,Baja California Sur,2020,1,3097.24,2764.56,Estatal
3,Baja California Sur,2020,3,2441.47,2153.67,Estatal
3,Baja California Sur,2020,4,2752.87,2432.78,Estatal
4,Campeche,2005,1,1815.45,2032.58,Estatal
4,Campeche,2005,2,1855.48,2004.96,Estatal
4,Campeche,2005,3,1867.29,2030.52,Estatal
4,Campeche,2005,4,1933.64,2141.93,Estatal
4,Campeche,2006,1,1946.45,2133.16,Estatal
4,Campeche,2006,2,2036.81,2250.86,Estatal
4,Campeche,2006,3,1962.44,2140.9,Estatal
4,Campeche,2006,4,1857.64,1974.31,Estatal
4,Campeche,2007,1,1871.19,1973.79,Estatal
4,Campeche,2007,2,1933.27,2066.01,Estatal
4,Campeche,2007,3,1932.01,2065.37,Estatal
4,Campeche,2007,4,1997.45,2118.59,Estatal
4,Campeche,2008,1,2065.22,2199.9,Estatal
4,Campeche,2008,2,2060.34,2164.09,Estatal
4,Campeche,2008,3,1982.83,2070.08,Estatal
4,Campeche,2008,4,1876.82,1935.1,Estatal
4,Campeche,2009,1,1929.49,1984.93,Estatal
4,Campeche,2009,2,1854.69,1863.34,Estatal
4,Campeche,2009,3,1869.44,1855.01,Estatal
4,Campeche,2009,4,1920.07,1925.91,Estatal
4,Campeche,2010,1,1864.33,1864.33,Estatal
4,Campeche,2010,2,1838.2,1847.7,Estatal
4,Campeche,2010,3,1859.63,1892.2,Estatal
4,Campeche,2010,4,1781.95,1800.09,Estatal
4,Campeche,2011,1,1856,1868.3,Estatal
4,Campeche,2011,2,1924.51,1930.85,Estatal
4,Campeche,2011,3,1923.74,1936.76,Estatal
4,Campeche,2011,4,1954.22,1953.72,Estatal
4,Campeche,2012,1,1961.51,1939.06,Estatal
4,Campeche,2012,2,2050.1,2003.8,Estatal
4,Campeche,2012,3,1935.53,1842.08,Estatal
4,Campeche,2012,4,1988.79,1884.04,Estatal
4,Campeche,2013,1,1920.48,1821.69,Estatal
4,Campeche,2013,2,2037.17,1922.97,Estatal
4,Campeche,2013,3,2048.35,1936.02,Estatal
4,Campeche,2013,4,2009.16,1890.94,Estatal
4,Campeche,2014,1,2010.45,1877.39,Estatal
4,Campeche,2014,2,1967.62,1855.15,Estatal
4,Campeche,2014,3,1926.96,1798.76,Estatal
4,Campeche,2014,4,1854.8,1713.86,Estatal
4,Campeche,2015,1,1845.18,1733.37,Estatal
4,Campeche,2015,2,1945.34,1817.58,Estatal
4,Campeche,2015,3,1882.64,1745.91,Estatal
4,Campeche,2015,4,1915.92,1772.69,Estatal
4,Campeche,2016,1,1884.18,1714.53,Estatal
4,Campeche,2016,2,1858.44,1698.65,Estatal
4,Campeche,2016,3,1831.35,1690.6,Estatal
4,Campeche,2016,4,1799.86,1648.8,Estatal
4,Campeche,2017,1,1750.51,1628.22,Estatal
4,Campeche,2017,2,1657.84,1515.68,Estatal
4,Campeche,2017,3,1657.83,1466.97,Estatal
4,Campeche,2017,4,1717.92,1540.04,Estatal
4,Campeche,2018,1,1688.39,1535.91,Estatal
4,Campeche,2018,2,1765.25,1611.9,Estatal
4,Campeche,2018,3,1738.19,1572.31,Estatal
4,Campeche,2018,4,1690.24,1532.16,Estatal
4,Campeche,2019,1,1703.78,1530.98,Estatal
4,Campeche,2019,2,1803.14,1623.02,Estatal
4,Campeche,2019,3,1825.8,1647.94,Estatal
4,Campeche,2019,4,1770.71,1605.77,Estatal
4,Campeche,2020,1,1812.79,1617.84,Estatal
4,Campeche,2020,3,1536.12,1354.41,Estatal
4,Campeche,2020,4,1764.55,1558.62,Estatal
5,Coahuila,2005,1,2161,2416.75,Estatal
5,Coahuila,2005,2,2280.48,2463.01,Estatal
5,Coahuila,2005,3,2182.51,2372.25,Estatal
5,Coahuila,2005,4,2166.09,2397.6,Estatal
5,Coahuila,2006,1,2211.75,2422.1,Estatal
5,Coahuila,2006,2,2225.63,2457.24,Estatal
5,Coahuila,2006,3,2396.34,2612.68,Estatal
5,Coahuila,2006,4,2240.57,2381.08,Estatal
5,Coahuila,2007,1,2360.49,2489.52,Estatal
5,Coahuila,2007,2,2336.12,2495.14,Estatal
5,Coahuila,2007,3,2344.99,2505.44,Estatal
5,Coahuila,2007,4,2327.4,2467.55,Estatal
5,Coahuila,2008,1,2254.05,2399.38,Estatal
5,Coahuila,2008,2,2190.61,2299.72,Estatal
5,Coahuila,2008,3,2183.37,2278.43,Estatal
5,Coahuila,2008,4,2057.57,2120.97,Estatal
5,Coahuila,2009,1,1967.97,2023.59,Estatal
5,Coahuila,2009,2,2008.06,2017.16,Estatal
5,Coahuila,2009,3,1910.93,1896.04,Estatal
5,Coahuila,2009,4,1917.11,1922.7,Estatal
5,Coahuila,2010,1,1888.93,1888.93,Estatal
5,Coahuila,2010,2,1889.99,1899.3,Estatal
5,Coahuila,2010,3,1911.36,1943.74,Estatal
5,Coahuila,2010,4,1791.13,1808.76,Estatal
5,Coahuila,2011,1,1914.38,1926.02,Estatal
5,Coahuila,2011,2,1994.5,2000.2,Estatal
5,Coahuila,2011,3,2071.1,2084,Estatal
5,Coahuila,2011,4,1981.61,1980.63,Estatal
5,Coahuila,2012,1,1924.56,1902.36,Estatal
5,Coahuila,2012,2,2000.75,1955.34,Estatal
5,Coahuila,2012,3,2091.42,1990.73,Estatal
5,Coahuila,2012,4,1993.76,1888.98,Estatal
5,Coahuila,2013,1,2038.37,1933.54,Estatal
5,Coahuila,2013,2,2106.74,1988.72,Estatal
5,Coahuila,2013,3,2145.9,2027.89,Estatal
5,Coahuila,2013,4,2119.69,1994.95,Estatal
5,Coahuila,2014,1,2005.13,1871.82,Estatal
5,Coahuila,2014,2,1998.43,1882.72,Estatal
5,Coahuila,2014,3,2094.37,1953.6,Estatal
5,Coahuila,2014,4,2064.04,1906.49,Estatal
5,Coahuila,2015,1,2028.76,1905.58,Estatal
5,Coahuila,2015,2,2089.62,1952.41,Estatal
5,Coahuila,2015,3,2144.02,1988.35,Estatal
5,Coahuila,2015,4,2110.96,1953.25,Estatal
5,Coahuila,2016,1,2106.42,1917.9,Estatal
5,Coahuila,2016,2,2134.11,1950.94,Estatal
5,Coahuila,2016,3,2222.49,2052,Estatal
5,Coahuila,2016,4,2132.22,1954.11,Estatal
5,Coahuila,2017,1,2182.6,2029.77,Estatal
5,Coahuila,2017,2,2195.78,2007.78,Estatal
5,Coahuila,2017,3,2125.29,1881.52,Estatal
5,Coahuila,2017,4,2143.29,1921.78,Estatal
5,Coahuila,2018,1,2112.76,1921.92,Estatal
5,Coahuila,2018,2,2202.05,2010.52,Estatal
5,Coahuila,2018,3,2170.96,1963.55,Estatal
5,Coahuila,2018,4,2168.67,1966.05,Estatal
5,Coahuila,2019,1,2176.94,1956.33,Estatal
5,Coahuila,2019,2,2301.38,2071.48,Estatal
5,Coahuila,2019,3,2383.17,2150.85,Estatal
5,Coahuila,2019,4,2304.57,2089.65,Estatal
5,Coahuila,2020,1,2336.59,2085.92,Estatal
5,Coahuila,2020,3,2193.44,1935.4,Estatal
5,Coahuila,2020,4,2198.72,1943.73,Estatal
6,Colima,2005,1,2215.7,2479.12,Estatal
6,Colima,2005,2,2306.92,2492.09,Estatal
6,Colima,2005,3,2371.47,2578.03,Estatal
6,Colima,2005,4,2241.91,2482.07,Estatal
6,Colima,2006,1,2357.87,2582.71,Estatal
6,Colima,2006,2,2457.21,2713.83,Estatal
6,Colima,2006,3,2518.15,2745.92,Estatal
6,Colima,2006,4,2412.59,2563.97,Estatal
6,Colima,2007,1,2333.37,2461.06,Estatal
6,Colima,2007,2,2411.34,2576.26,Estatal
6,Colima,2007,3,2431.95,2598.65,Estatal
6,Colima,2007,4,2468.87,2618.09,Estatal
6,Colima,2008,1,2540.07,2704.69,Estatal
6,Colima,2008,2,2526.95,2653.64,Estatal
6,Colima,2008,3,2568.4,2680.64,Estatal
6,Colima,2008,4,2429.94,2505.15,Estatal
6,Colima,2009,1,2415.61,2484.45,Estatal
6,Colima,2009,2,2284.09,2294.58,Estatal
6,Colima,2009,3,2376.79,2358.33,Estatal
6,Colima,2009,4,2243.34,2250.02,Estatal
6,Colima,2010,1,2308.71,2308.71,Estatal
6,Colima,2010,2,2412.08,2424.28,Estatal
6,Colima,2010,3,2395.12,2436.18,Estatal
